window,row,datetime,action,equity,long,short,entries
W1,56543,2026-06-19 01:00:00,1,10077.937599693398,True,False,5
W1,56544,2026-06-19 02:00:00,1,10075.401498835614,True,False,5
W1,56545,2026-06-19 03:00:00,1,10038.223884364485,True,False,5
W1,56546,2026-06-19 04:00:00,1,9986.812247665192,True,False,5
W1,56547,2026-06-19 05:00:00,1,10032.736911474145,True,False,5
W1,56548,2026-06-19 06:00:00,1,10057.503872782103,True,False,5
W1,56549,2026-06-19 07:00:00,1,10015.272796256915,True,False,5
W1,56550,2026-06-19 08:00:00,1,10011.115090023068,True,False,5
W1,56551,2026-06-19 09:00:00,1,9976.895843449098,True,False,5
W1,56552,2026-06-19 10:00:00,1,9999.80320567981,True,False,5
W1,56553,2026-06-19 11:00:00,1,10014.635023110166,True,False,5
W1,56554,2026-06-19 12:00:00,1,10047.258899834189,True,False,5
W1,56555,2026-06-19 13:00:00,1,10108.023501593485,True,False,5
W1,56556,2026-06-19 14:00:00,1,10106.989072278093,True,False,5
W1,56557,2026-06-19 15:00:00,1,10108.665022672536,True,False,5
W1,56558,2026-06-19 16:00:00,1,10069.962624409816,True,False,5
W1,56559,2026-06-19 17:00:00,1,10090.952327622823,False,False,5
W1,56560,2026-06-19 18:00:00,1,10061.795260317473,True,False,6
W1,56561,2026-06-19 19:00:00,1,10047.69979642999,True,False,6
W1,56562,2026-06-19 20:00:00,1,10084.115828767406,True,False,6
W1,56563,2026-06-19 21:00:00,1,10056.369568567032,True,False,6
W1,56564,2026-06-19 22:00:00,1,10094.521921909982,True,False,6
W1,56565,2026-06-19 23:00:00,1,10130.9728301356,True,False,6
W1,56566,2026-06-20 00:00:00,1,10128.756965667273,True,False,6
W1,56567,2026-06-20 01:00:00,1,10137.728165123783,True,False,6
W1,56568,2026-06-20 02:00:00,1,10098.553823699738,True,False,6
W1,56569,2026-06-20 03:00:00,1,10120.271537510733,True,False,6
W1,56570,2026-06-20 04:00:00,1,10137.289725386372,True,False,6
W1,56571,2026-06-20 05:00:00,1,10152.362336927255,True,False,6
W1,56572,2026-06-20 06:00:00,1,10162.970834778154,True,False,6
W1,56573,2026-06-20 07:00:00,1,10148.717806610039,True,False,6
W1,56574,2026-06-20 08:00:00,1,10110.893660286429,True,False,6
W1,56575,2026-06-20 09:00:00,1,10162.420916755238,True,False,6
W1,56576,2026-06-20 10:00:00,1,10151.824874578699,True,False,6
W1,56577,2026-06-20 11:00:00,1,10153.945453138185,True,False,6
W1,56578,2026-06-20 12:00:00,1,10148.698500314784,True,False,6
W1,56579,2026-06-20 13:00:00,1,10107.675114032265,True,False,6
W1,56580,2026-06-20 14:00:00,1,10195.700610289252,True,False,6
W1,56581,2026-06-20 15:00:00,1,10229.203883177997,True,False,6
W1,56582,2026-06-20 16:00:00,1,10209.158343649593,True,False,6
W1,56583,2026-06-20 17:00:00,1,10177.334095664337,True,False,6
W1,56584,2026-06-20 18:00:00,1,10172.741065744742,True,False,6
W1,56585,2026-06-20 19:00:00,1,10193.484745820924,True,False,6
W1,56586,2026-06-20 20:00:00,1,10191.888551151918,True,False,6
W1,56587,2026-06-20 21:00:00,1,10205.665149775828,True,False,6
W1,56588,2026-06-20 22:00:00,1,10247.05597845192,True,False,6
W1,56589,2026-06-20 23:00:00,1,10251.201226878335,True,False,6
W1,56590,2026-06-21 00:00:00,1,10250.56162800004,True,False,6
W1,56591,2026-06-21 01:00:00,1,10243.22772693792,True,False,6
W1,56592,2026-06-21 02:00:00,1,10242.151556673367,True,False,6
W1,56593,2026-06-21 03:00:00,1,10271.606735395691,True,False,6
W1,56594,2026-06-21 04:00:00,1,10247.71114692316,True,False,6
W1,56595,2026-06-21 05:00:00,1,10244.591000496424,True,False,6
W1,56596,2026-06-21 06:00:00,1,10252.070010164822,True,False,6
W1,56597,2026-06-21 07:00:00,1,10234.151277033083,True,False,6
W1,56598,2026-06-21 08:00:00,1,10205.920491100174,True,False,6
W1,56599,2026-06-21 09:00:00,1,10237.035388430728,True,False,6
W1,56600,2026-06-21 10:00:00,1,10262.038909137424,True,False,6
W1,56601,2026-06-21 11:00:00,1,10231.748577449382,True,False,6
W1,56602,2026-06-21 12:00:00,1,10235.574960612228,True,False,6
W1,56603,2026-06-21 13:00:00,1,10226.965598495824,True,False,6
W1,56604,2026-06-21 14:00:00,1,10226.960616226082,True,False,6
W1,56605,2026-06-21 15:00:00,1,10239.401343775075,True,False,6
W1,56606,2026-06-21 16:00:00,1,10226.855365777754,True,False,6
W1,56607,2026-06-21 17:00:00,1,10212.499609676392,False,False,6
W1,56608,2026-06-21 18:00:00,1,10207.097737704293,True,False,7
W1,56609,2026-06-21 19:00:00,1,10206.034726996539,True,False,7
W1,56610,2026-06-21 20:00:00,1,10148.950679439602,True,False,7
W1,56611,2026-06-21 21:00:00,1,10142.594347304504,True,False,7
W1,56612,2026-06-21 22:00:00,1,10141.573558984674,True,False,7
W1,56613,2026-06-21 23:00:00,1,10063.749005194593,True,False,7
W1,56614,2026-06-22 00:00:00,1,10156.58237605702,True,False,7
W1,56615,2026-06-22 01:00:00,1,10269.438472557873,True,False,7
W1,56616,2026-06-22 02:00:00,1,10214.120314284148,True,False,7
W1,56617,2026-06-22 03:00:00,1,10168.98085608766,True,False,7
W1,56618,2026-06-22 04:00:00,1,10189.010411818248,True,False,7
W1,56619,2026-06-22 05:00:00,1,10212.491026844224,True,False,7
W1,56620,2026-06-22 06:00:00,1,10171.514199363151,True,False,7
W1,56621,2026-06-22 07:00:00,1,10206.681722999738,True,False,7
W1,56622,2026-06-22 08:00:00,1,10199.49646604288,True,False,7
W1,56623,2026-06-22 09:00:00,1,10196.222368226296,True,False,7
W1,56624,2026-06-22 10:00:00,1,10195.240076789572,True,False,7
W1,56625,2026-06-22 11:00:00,1,10277.579942417735,True,False,7
W1,56626,2026-06-22 12:00:00,1,10355.841622106333,True,False,7
W1,56627,2026-06-22 13:00:00,1,10423.942608324307,True,False,7
W1,56628,2026-06-22 14:00:00,1,10328.949686503016,True,False,7
W1,56629,2026-06-22 15:00:00,1,10306.148976106126,True,False,7
W1,56630,2026-06-22 16:00:00,1,10287.522693856568,True,False,7
W1,56631,2026-06-22 17:00:00,1,10268.80265306912,True,False,7
W1,56632,2026-06-22 18:00:00,1,10226.204610075229,True,False,7
W1,56633,2026-06-22 19:00:00,1,10248.138519684722,True,False,7
W1,56634,2026-06-22 20:00:00,1,10242.066567750646,True,False,7
W1,56635,2026-06-22 21:00:00,1,10224.068033062737,True,False,7
W1,56636,2026-06-22 22:00:00,1,10168.521377160243,True,False,7
W1,56637,2026-06-22 23:00:00,1,10176.292780208294,True,False,7
W1,56638,2026-06-23 00:00:00,1,10197.747962448815,True,False,7
W1,56639,2026-06-23 01:00:00,1,10197.908780073412,True,False,7
W1,56640,2026-06-23 02:00:00,1,10205.540476690829,True,False,7
W1,56641,2026-06-23 03:00:00,1,10183.499769276585,True,False,7
W1,56642,2026-06-23 04:00:00,1,10113.18893778472,True,False,7
W1,56643,2026-06-23 05:00:00,1,10077.738896699517,True,False,7
W1,56644,2026-06-23 06:00:00,1,10003.985698756838,True,False,7
W1,56645,2026-06-23 07:00:00,1,9996.041059734802,True,False,7
W1,56646,2026-06-23 08:00:00,1,9916.556793548792,True,False,7
W1,56647,2026-06-23 09:00:00,1,9916.558656301202,True,False,7
W1,56648,2026-06-23 10:00:00,1,9907.341136466723,True,False,7
W1,56649,2026-06-23 11:00:00,1,9935.801509597954,True,False,7
W1,56650,2026-06-23 12:00:00,1,9895.990144207102,True,False,7
W1,56651,2026-06-23 13:00:00,1,9930.862732045685,True,False,7
W1,56652,2026-06-23 14:00:00,1,9933.66679533787,True,False,7
W1,56653,2026-06-23 15:00:00,1,9932.738523720993,True,False,7
W1,56654,2026-06-23 16:00:00,1,9943.898894317485,True,False,7
W1,56655,2026-06-23 17:00:00,1,9897.247813986107,False,False,7
W1,56656,2026-06-23 18:00:00,1,9864.019041949172,True,False,8
W1,56657,2026-06-23 19:00:00,1,9887.236147146965,True,False,8
W1,56658,2026-06-23 20:00:00,1,9900.264815982095,True,False,8
W1,56659,2026-06-23 21:00:00,1,9920.71968986076,True,False,8
W1,56660,2026-06-23 22:00:00,1,9919.171428872607,True,False,8
W1,56661,2026-06-23 23:00:00,1,9942.082720024759,True,False,8
W1,56662,2026-06-24 00:00:00,1,9986.366327192498,True,False,8
W1,56663,2026-06-24 01:00:00,1,9973.401421204939,True,False,8
W1,56664,2026-06-24 02:00:00,1,9925.510570223541,True,False,8
W1,56665,2026-06-24 03:00:00,1,9941.323756421609,True,False,8
W1,56666,2026-06-24 04:00:00,1,9943.643981205136,True,False,8
W1,56667,2026-06-24 05:00:00,1,9966.714989004608,True,False,8
W1,56668,2026-06-24 06:00:00,1,9949.282350289539,True,False,8
W1,56669,2026-06-24 07:00:00,1,9929.946111998875,True,False,8
W1,56670,2026-06-24 08:00:00,1,9952.451920965006,True,False,8
W1,56671,2026-06-24 09:00:00,1,9933.703786608266,True,False,8
W1,56672,2026-06-24 10:00:00,1,9896.34866283893,True,False,8
W1,56673,2026-06-24 11:00:00,1,9971.658157333433,True,False,8
W1,56674,2026-06-24 12:00:00,1,9923.657733303291,True,False,8
W1,56675,2026-06-24 13:00:00,1,9720.758161758717,True,False,8
W1,56676,2026-06-24 14:00:00,1,9685.114729965488,True,False,8
W1,56677,2026-06-24 15:00:00,1,9548.33165984302,True,False,8
W1,56678,2026-06-24 16:00:00,1,9484.940246333688,True,False,8
W1,56679,2026-06-24 17:00:00,1,9414.258820270783,True,False,8
W1,56680,2026-06-24 18:00:00,1,9445.318755720038,True,False,8
W1,56681,2026-06-24 19:00:00,1,9502.103595352693,True,False,8
W1,56682,2026-06-24 20:00:00,1,9660.217504686989,True,False,8
